item_id,actual_sum,predicted_sum,diff_sum
0,0.0,0.0027456249048585482,0.0027456249048585482
1,0.0,0.04382015799113836,0.04382015799113836
2,0.0,0.0027456249048585482,0.0027456249048585482
3,0.0,0.0027456249048585482,0.0027456249048585482
4,0.0,0.0027456249048585482,0.0027456249048585482
5,0.0,0.0027456249048585482,0.0027456249048585482
6,0.0,0.0027456249048585482,0.0027456249048585482
7,0.0,0.0027456249048585482,0.0027456249048585482
8,0.0,0.0027456249048585482,0.0027456249048585482
9,0.0,0.0027456249048585482,0.0027456249048585482
10,0.0,0.0027456249048585482,0.0027456249048585482
11,0.0,0.0027456249048585482,0.0027456249048585482
12,0.0,0.00613113747566687,0.00613113747566687
13,0.0,0.0027456249048585482,0.0027456249048585482
14,0.0,0.0027456249048585482,0.0027456249048585482
15,0.0,0.0027456249048585482,0.0027456249048585482
16,0.0,0.021436496691261013,0.021436496691261013
17,0.0,0.016130705654104002,0.016130705654104002
18,0.0,0.05886422289302357,0.05886422289302357
19,0.0,0.05886422289302357,0.05886422289302357
20,0.0,0.0027456249048585482,0.0027456249048585482
21,0.0,0.0027456249048585482,0.0027456249048585482
22,0.0,0.0027456249048585482,0.0027456249048585482
23,0.0,0.0027456249048585482,0.0027456249048585482
24,0.0,0.0027456249048585482,0.0027456249048585482
25,0.0,0.0027456249048585482,0.0027456249048585482
26,0.0,0.06127664556101799,0.06127664556101799
27,0.0,1.8273854543281054,1.8273854543281054
28,0.0,2.4506554847351345,2.4506554847351345
29,0.0,0.9473655307320926,0.9473655307320926
30,1.0,2.848566791574972,1.8485667915749722
31,18.0,9.875614461621007,-8.124385538378993
32,22.0,11.566092143016538,-10.433907856983462
33,16.0,8.080082030880842,-7.919917969119158
34,0.0,0.7803487867745088,0.7803487867745088
35,0.0,0.8434023814994762,0.8434023814994762
36,0.0,0.8088096397982533,0.8088096397982533
37,0.0,0.7150193560417432,0.7150193560417432
38,0.0,2.8042694509920367,2.8042694509920367
39,0.0,0.2487772744862242,0.2487772744862242
40,1.0,0.406100752321529,-0.593899247678471
41,0.0,0.30337085949586134,0.30337085949586134
42,1.0,1.2155699957352812,0.21556999573528124
43,0.0,0.18784667162888005,0.18784667162888005
44,0.0,0.3741291137742735,0.3741291137742735
45,1.0,3.803184387401334,2.803184387401334
46,0.0,0.24943412456548847,0.24943412456548847
47,0.0,0.42425391341334856,0.42425391341334856
48,0.0,0.404128547246534,0.404128547246534
49,2.0,2.333561608257015,0.333561608257015
50,0.0,0.050032046814995464,0.050032046814995464
51,2.0,2.478956448078808,0.478956448078808
52,0.0,0.3818787623973089,0.3818787623973089
53,1.0,3.3231514260636996,2.3231514260636996
54,0.0,0.2722842863339803,0.2722842863339803
55,0.0,0.3949337066291753,0.3949337066291753
56,0.0,0.315601855563477,0.315601855563477
57,1.0,3.3260309050223835,2.3260309050223835
58,0.0,0.04382015799113836,0.04382015799113836
59,4.0,2.8655290138024014,-1.1344709861975986
