shop_id,date_block_num,date,total_item_cnt
0,0,2013-01-01,5411.0
0,1,2013-02-01,5820.0
0,2,2013-03-01,0.0
0,3,2013-04-01,0.0
0,4,2013-05-01,0.0
0,5,2013-06-01,0.0
0,6,2013-07-01,0.0
0,7,2013-08-01,0.0
0,8,2013-09-01,0.0
0,9,2013-10-01,0.0
0,10,2013-11-01,0.0
0,11,2013-12-01,0.0
0,12,2014-01-01,0.0
0,13,2014-02-01,0.0
0,14,2014-03-01,0.0
0,15,2014-04-01,0.0
0,16,2014-05-01,0.0
0,17,2014-06-01,0.0
0,18,2014-07-01,0.0
0,19,2014-08-01,0.0
0,20,2014-09-01,0.0
0,21,2014-10-01,0.0
0,22,2014-11-01,0.0
0,23,2014-12-01,0.0
0,24,2015-01-01,0.0
0,25,2015-02-01,0.0
0,26,2015-03-01,0.0
0,27,2015-04-01,0.0
0,28,2015-05-01,0.0
0,29,2015-06-01,0.0
0,30,2015-07-01,0.0
0,31,2015-08-01,0.0
0,32,2015-09-01,0.0
0,33,2015-10-01,0.0
0,34,2015-11-01,24.93152
0,35,2015-12-01,87.91019
0,36,2016-01-01,38.86103
0,37,2016-02-01,32.45541
0,38,2016-03-01,37.92025
0,39,2016-04-01,30.46176
1,0,2013-01-01,2932.0
1,1,2013-02-01,3314.0
1,2,2013-03-01,0.0
1,3,2013-04-01,0.0
1,4,2013-05-01,0.0
1,5,2013-06-01,0.0
1,6,2013-07-01,0.0
1,7,2013-08-01,0.0
1,8,2013-09-01,0.0
1,9,2013-10-01,0.0
1,10,2013-11-01,0.0
1,11,2013-12-01,0.0
1,12,2014-01-01,0.0
1,13,2014-02-01,0.0
1,14,2014-03-01,0.0
1,15,2014-04-01,0.0
1,16,2014-05-01,0.0
1,17,2014-06-01,0.0
1,18,2014-07-01,0.0
1,19,2014-08-01,0.0
1,20,2014-09-01,0.0
1,21,2014-10-01,0.0
1,22,2014-11-01,0.0
1,23,2014-12-01,0.0
1,24,2015-01-01,0.0
1,25,2015-02-01,0.0
1,26,2015-03-01,0.0
1,27,2015-04-01,0.0
1,28,2015-05-01,0.0
1,29,2015-06-01,0.0
1,30,2015-07-01,0.0
1,31,2015-08-01,0.0
1,32,2015-09-01,0.0
1,33,2015-10-01,0.0
1,34,2015-11-01,17.50591
1,35,2015-12-01,67.24001
1,36,2016-01-01,28.42184
1,37,2016-02-01,22.55031
1,38,2016-03-01,25.70789
1,39,2016-04-01,19.95724
2,0,2013-01-01,1146.0
2,1,2013-02-01,489.0
2,2,2013-03-01,751.0
2,3,2013-04-01,585.0
2,4,2013-05-01,553.0
2,5,2013-06-01,808.0
2,6,2013-07-01,807.0
2,7,2013-08-01,852.0
2,8,2013-09-01,843.0
2,9,2013-10-01,716.0
2,10,2013-11-01,814.0
2,11,2013-12-01,1255.0
2,12,2014-01-01,863.0
2,13,2014-02-01,868.0
2,14,2014-03-01,928.0
2,15,2014-04-01,759.0
2,16,2014-05-01,841.0
2,17,2014-06-01,893.0
2,18,2014-07-01,792.0
2,19,2014-08-01,910.0
2,20,2014-09-01,837.0
2,21,2014-10-01,880.0
2,22,2014-11-01,986.0
2,23,2014-12-01,1745.0
2,24,2015-01-01,945.0
2,25,2015-02-01,881.0
2,26,2015-03-01,746.0
2,27,2015-04-01,685.0
2,28,2015-05-01,714.0
2,29,2015-06-01,773.0
2,30,2015-07-01,763.0
2,31,2015-08-01,942.0
2,32,2015-09-01,803.0
2,33,2015-10-01,717.0
2,34,2015-11-01,762.22577
2,35,2015-12-01,902.66711
2,36,2016-01-01,459.46603
2,37,2016-02-01,297.61008
2,38,2016-03-01,261.96942
2,39,2016-04-01,180.01382
3,0,2013-01-01,767.0
3,1,2013-02-01,798.0
3,2,2013-03-01,959.0
3,3,2013-04-01,647.0
3,4,2013-05-01,704.0
3,5,2013-06-01,750.0
3,6,2013-07-01,687.0
3,7,2013-08-01,866.0
3,8,2013-09-01,930.0
3,9,2013-10-01,775.0
3,10,2013-11-01,949.0
3,11,2013-12-01,1120.0
3,12,2014-01-01,964.0
3,13,2014-02-01,871.0
3,14,2014-03-01,937.0
3,15,2014-04-01,679.0
3,16,2014-05-01,758.0
3,17,2014-06-01,827.0
3,18,2014-07-01,745.0
3,19,2014-08-01,869.0
3,20,2014-09-01,872.0
3,21,2014-10-01,758.0
3,22,2014-11-01,1002.0
3,23,2014-12-01,1220.0
3,24,2015-01-01,956.0
3,25,2015-02-01,738.0
3,26,2015-03-01,724.0
3,27,2015-04-01,679.0
3,28,2015-05-01,702.0
3,29,2015-06-01,662.0
3,30,2015-07-01,538.0
3,31,2015-08-01,646.0
3,32,2015-09-01,674.0
3,33,2015-10-01,613.0
3,34,2015-11-01,667.6709
3,35,2015-12-01,769.9986
3,36,2016-01-01,414.32269
3,37,2016-02-01,266.07773
3,38,2016-03-01,244.14328
3,39,2016-04-01,175.04108
4,0,2013-01-01,2089.0
4,1,2013-02-01,1999.0
4,2,2013-03-01,2021.0
4,3,2013-04-01,287.0
4,4,2013-05-01,1205.0
4,5,2013-06-01,1435.0
4,6,2013-07-01,1377.0
4,7,2013-08-01,1692.0
4,8,2013-09-01,1408.0
4,9,2013-10-01,1383.0
4,10,2013-11-01,1349.0
4,11,2013-12-01,2074.0
4,12,2014-01-01,1355.0
4,13,2014-02-01,1251.0
4,14,2014-03-01,1189.0
4,15,2014-04-01,1011.0
4,16,2014-05-01,1142.0
4,17,2014-06-01,1139.0
4,18,2014-07-01,1043.0
4,19,2014-08-01,1258.0
4,20,2014-09-01,998.0
4,21,2014-10-01,1079.0
4,22,2014-11-01,1184.0
4,23,2014-12-01,1840.0
4,24,2015-01-01,1100.0
4,25,2015-02-01,924.0
4,26,2015-03-01,905.0
4,27,2015-04-01,780.0
4,28,2015-05-01,803.0
4,29,2015-06-01,760.0
4,30,2015-07-01,812.0
4,31,2015-08-01,868.0
4,32,2015-09-01,687.0
4,33,2015-10-01,748.0
4,34,2015-11-01,766.54401
4,35,2015-12-01,867.94861
4,36,2016-01-01,461.18442
4,37,2016-02-01,291.55728
4,38,2016-03-01,273.53519
4,39,2016-04-01,198.17305
5,0,2013-01-01,0.0
5,1,2013-02-01,877.0
5,2,2013-03-01,1355.0
5,3,2013-04-01,1008.0
5,4,2013-05-01,1107.0
5,5,2013-06-01,1325.0
5,6,2013-07-01,1225.0
5,7,2013-08-01,1495.0
5,8,2013-09-01,1254.0
5,9,2013-10-01,1217.0
5,10,2013-11-01,1336.0
5,11,2013-12-01,2076.0
5,12,2014-01-01,1576.0
5,13,2014-02-01,1191.0
5,14,2014-03-01,1402.0
