shop_id,actual_sum,predicted_sum,diff_sum
0,0.0,13.705689959535832,13.705689959535832
1,0.0,10.009217473115863,10.009217473115863
2,717.0,723.5503718009804,6.550371800980429
3,613.0,595.0246154832906,-17.97538451670937
4,748.0,663.7037955498498,-84.29620445015019
5,1029.0,985.3692806021346,-43.63071939786539
6,1677.0,1371.1902116700785,-305.8097883299215
7,1169.0,1153.6703269023608,-15.329673097639215
8,0.0,18.527090640406165,18.527090640406165
9,2260.0,2048.804173709003,-211.19582629099705
10,428.0,537.6409251397437,109.64092513974367
11,0.0,45.70882522097327,45.70882522097327
12,1268.0,1350.9942314486295,82.99423144862953
13,0.0,233.56319759144762,233.56319759144762
14,941.0,926.4949728614686,-14.505027138531432
15,1223.0,1088.0702289933054,-134.92977100669464
16,923.0,918.7993053827286,-4.200694617271438
17,0.0,376.10523502037927,376.10523502037927
18,1135.0,1091.7181694915334,-43.281830508466555
19,1413.0,1159.3311761111888,-253.66882388881118
20,2172.0,1350.103579769428,-821.896420230572
21,1746.0,1384.656979421649,-361.3430205783509
22,1236.0,1105.4504958887119,-130.54950411128812
23,0.0,19.39299334745755,19.39299334745755
24,1207.0,1180.5457996976018,-26.45420030239825
25,5263.0,4299.764003731988,-963.2359962680121
26,1283.0,1089.666896070174,-193.33310392982594
27,0.0,147.20586265431922,147.20586265431922
28,2750.0,2181.5550721828554,-568.4449278171446
29,0.0,66.61899186196143,66.61899186196143
30,0.0,70.7749204811336,70.7749204811336
31,5343.0,4710.851471438439,-632.1485285615609
32,0.0,19.35679486132074,19.35679486132074
33,0.0,25.845802060199034,25.845802060199034
34,382.0,457.8826667112901,75.88266671129009
35,1362.0,1260.0405766626359,-101.95942333736411
36,330.0,71.53390446700645,-258.46609553299356
37,758.0,925.7362782319328,167.73627823193283
38,1049.0,1192.1159381266393,143.11593812663932
39,836.0,728.402313374331,-107.59768662566898
40,0.0,18.32865400974936,18.32865400974936
41,739.0,702.0142323129148,-36.98576768708517
42,3558.0,2982.5032829669913,-575.4967170330087
43,0.0,57.050111501702496,57.050111501702496
44,779.0,715.4602117483266,-63.53978825167337
45,686.0,675.1659101631597,-10.834089836840349
46,1258.0,1164.7345945121858,-93.26540548781418
47,1608.0,1528.3378429638708,-79.6621570361292
48,1055.0,1009.3591242589026,-45.640875741097375
49,648.0,632.7973438366264,-15.202656163373604
50,928.0,865.631206989702,-62.36879301029796
51,0.0,571.6258499718607,571.6258499718607
52,834.0,915.2308763553062,81.23087635530624
53,1008.0,1043.6398379234633,35.63983792346335
54,0.0,94.723364236479,94.723364236479
55,1620.0,1596.2914110981233,-23.708588901876738
56,1194.0,1120.2528142486415,-73.74718575135853
57,2225.0,1956.667070825255,-268.332929174745
58,1393.0,1258.469152879143,-134.53084712085706
59,789.0,890.3651621890415,101.36516218904148
